"decimallongitude","decimallatitude","Range","year"
148.004276,44.872679,"Native",1893
140.907662,36.924793,"Native",1934
140.569,36.3092,"Native",1981
133.278011,36.181809,"Native",1988
133.556,34.358,"Native",1989
134.59167,34.635,"Native",1989
140.676,36.6473,"Native",1989
120.397409,35.972667,"Native",1994
140.607,36.3481,"Native",1998
140.631,36.5192,"Native",2000
140.721,36.7237,"Native",2000
140.74,36.8078,"Native",2000
140.755,36.8001,"Native",2000
140.792,36.8541,"Native",2000
138.56667,38.05,"Native",2006
138.926334,37.960425,"Native",2006
128.9901,37.73472,"Native",2012
122.119,29.9051,"Native",NA
126.245,36.6944,"Native",NA
126.382,34.413,"Native",NA
126.445,36.3729,"Native",NA
126.519,36.3366,"Native",NA
126.636,34.3075,"Native",NA
126.729,37.0656,"Native",NA
126.946,33.4608,"Native",NA
127.7166667,34.61666667,"Native",NA
128.555,34.9189,"Native",NA
128.558,38.2706,"Native",NA
129.043,37.69,"Native",NA
129.193,35.1588,"Native",NA
129.206,35.1784,"Native",NA
129.54,35.8712,"Native",NA
129.75,33.06666667,"Native",NA
129.767608,32.744161,"Native",NA
130.3666667,32.85,"Native",NA
130.407,33.7461,"Native",NA
130.45,33.8,"Native",NA
131.509,33.289,"Native",NA
131.95,32.93333333,"Native",NA
132,32.96666667,"Native",NA
133.005275,36.108983,"Native",NA
133.19,34.3988,"Native",NA
134.5666667,34.21666667,"Native",NA
134.6,35.63333333,"Native",NA
134.626,34.1448,"Native",NA
134.904,34.3427,"Native",NA
134.9833333,34.61666667,"Native",NA
134.999,34.5351,"Native",NA
135.0166667,34.6,"Native",NA
135.326,34.7039,"Native",NA
136.75,34.28333333,"Native",NA
136.875,34.45833333,"Native",NA
137.3833333,36.81666667,"Native",NA
138.182167,38.189221,"Native",NA
138.9333333,34.66666667,"Native",NA
139.55,38.56666667,"Native",NA
139.557,35.2865,"Native",NA
139.613,35.1495,"Native",NA
139.676627,38.720499,"Native",NA
139.746,35.2572,"Native",NA
140.042,35.5971,"Native",NA
140.1166667,41.85,"Native",NA
140.3333333,41.25,"Native",NA
140.352,41.2581,"Native",NA
140.432,41.5877,"Native",NA
140.6,41.76666667,"Native",NA
140.698378,36.00921,"Native",NA
140.85,43.21666667,"Native",NA
140.9,41.55,"Native",NA
140.924,38.0138,"Native",NA
140.9833333,42.33333333,"Native",NA
141.016,42.3125,"Native",NA
141.1333333,45.18333333,"Native",NA
141.239,45.2385,"Native",NA
141.5166667,38.35,"Native",NA
141.6333333,45.43333333,"Native",NA
140.125,35.125,"Native",NA
